Cidade_UF,Município,UF,cod_municipio_uf,Micro-Região,cidade_estado_ddd_principal,ranking_calculado,ranking_populacao,ranking_atratividade_market,ranking_digitalizacao_teledensidade,ranking_oportunidade_logistica_prazo,ranking_pib_per_capita,ranking_centauro_receita_online_per_capita,População estimada - pessoas [2019],teledensidade_nov-19,PIB per capita - R$ [2017],num_shoppings,num_shoppings_com_centauro,presenca_centauro_shoppings_cidade,centauro_market_share_2020,centauro_atratividade_market_2020,Consumo Total Tenis e Artigos esportivos (R$),centauro_receita_online_per_capita,centauro_receita_total_online_lj_fisicas_2020,centauro_receita_lj_fisicas_2020,centauro_receita_online_2020,centauro_receita_online_2019, Perc Crescimento Digital,centauro_pedido_online_2020,centauro_pedidos_lj_fisicas_2020,centauro_ticket_medio_2020,receita_ACESSORIOS,receita_ALIMENTO,receita_BIKE,receita_CALCADOS,receita_EQUIPAMENTOS,receita_INSUMOS,receita_MEIAS,receita_VESTUARIO,pedidos_ACESSORIOS,pedidos_ALIMENTO,pedidos_BIKE,pedidos_CALCADOS,pedidos_EQUIPAMENTOS,pedidos_INSUMOS,pedidos_MEIAS,pedidos_VESTUARIO,max_prazo_realizado,min_prazo_realizado,q2_prazo_realizado,q3_prazo_realizado,avg_prazo_realizado,max_frete_pago,min_frete_pago,q2_frete_pago,q3_frete_pago,avg_frete_pago,Densidade demográfica - hab/km² [2010],Área Territorial - km² [2018],Escolarização 6 a 14 anos - % [2010],IDHM Índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2017],Cidade,MagaLU,Americanas,delivery_online
DOM MACEDO COSTA - BA,Dom Macedo Costa,BA,2910206,SANTO ANTONIO DE JESUS - BA,FEIRA DE SANTANA - BA,5037.84,4677,5558,4844,1007,4978,676,4058,69.82,7426.72,0,0,,0.101194776,0.898805224,151225,3.771113849,15303.18,0,15303.18,2630.84,5.816841769,26,0,,115.98,0,0,14562.29,0,0,36.47,588.44,2,0,0,21,0,0,2,4,13,5,10,11.5,9.727272727,19.34,8.98,14.4,14.57,14.16090909,45.7,94.778,99.3,0.632,17.24,DOM MACEDO COSTA,0,0,0
BELEM DO PIAUI - PI,Belém do Piauí,PI,2201572,ALTO MEDIO CANINDE - PI,PICOS - PI,4985.92,4873,5254,4612,5385,4879,2567,3566,71.51,7629.38,0,0,,0.05407166942,0.9459283306,95494,1.44798654,5163.52,0,5163.52,2019.69,2.556590368,20,0,,179.97,0,0,4329.7,0,0,21.24,632.61,3,0,0,10,0,0,1,7,0,0,0,0,0,0,0,0,0,0,13.5,243.531,97,0.551,,BELEM DO PIAUI,0,0,0
FRANCISCO DANTAS - RN,Francisco Dantas,RN,2403905,PAU DOS FERROS - RN,NATAL - RN,4973.56,5160.5,5278,3600,1523,4485,1336,2824,87.98,8578.78,0,0,,0.05530268616,0.9446973138,134281,2.62963881,7426.1,0,7426.1,2753.23,2.697231978,42,0,,678.1,169.97,863.99,1956.89,199.99,0,24.98,3532.18,11,3,1,11,1,0,2,26,16,8,9,10,10,215.06,9.25,12.16,32,49.94736842,15.83,181.558,97.8,0.606,,FRANCISCO DANTAS,0,0,0
IPUEIRA - RN,Ipueira,RN,2404804,SERIDO OCIDENTAL - RN,NATAL - RN,4941.08,5378.5,5534,3600,1431,3645,261,2241,87.98,11539.94,0,0,,0.08137366205,0.9186263379,143223,5.200615797,11654.58,0,11654.58,5528.2,2.108205202,65,0,,1650.34,0,1724.98,4740.79,1079,0,49.98,2409.49,22,0,2,29,1,0,1,20,15,8,9,10.75,10,35.91,10.78,13.18,14.8025,15.25583333,16.31,127.348,98.1,0.679,,IPUEIRA,0,0,0
ANTONIO PRADO DE MINAS - MG,Antônio Prado de Minas,MG,3103108,MURIAE - MG,JUIZ DE FORA - MG,4909.86,5526,5555,3138.5,1498.5,3318,64,1598,89.98,13454.82,0,0,,0.09507287779,0.9049271222,130218,7.747309136,12380.2,0,12380.2,4071.18,3.040936534,43,0,,89.96,26.32,4719.98,5727.08,29.58,0,24.99,1762.29,3,1,2,29,1,0,1,11,19,7,9,10,10,36.28,11.82656441,15.8,19.165,18.44082055,19.94,83.802,99.1,0.684,,ANTONIO PRADO DE MINAS,0,0,0
SERRINHA DOS PINTOS - RN,Serrinha dos Pintos,RN,2413557,UMARIZAL - RN,NATAL - RN,4845.12,4403,5561,3600,1926,4835,443,4800,87.98,7709.46,0,0,,0.1069707256,0.8930292744,197374,4.398591667,21113.24,0,21113.24,6218.78,3.395077491,94,0,,2114.47,256.7,6279.98,6843.01,1309.98,0,0,4309.1,21,3,2,41,3,0,0,34,14,6,8,10,8.466666667,31.81,9.25,12.34,18.18,15.21866667,37.02,122.375,96.1,0.598,,SERRINHA DOS PINTOS,0,0,0
SEVERIANO MELO - RN,Severiano Melo,RN,2413607,PAU DOS FERROS - RN,NATAL - RN,4811.28,5315,5420,3600,2290,3362,733,2440,87.98,13155.87,0,0,,0.06283647383,0.9371635262,140583,3.620385246,8833.74,0,8833.74,5715.39,1.545605812,37,0,,529.55,0,1529.99,4559.57,0,0,125.71,2088.92,8,0,1,19,0,0,3,14,8,8,8,8,8,38.97,14.2,14.5,26.735,22.55666667,36.44,157.85,97.1,0.604,,SEVERIANO MELO,0,0,0
VARZEA - PB,Várzea,PB,2517100,SERIDO OCIDENTAL PARAIBANO - PB,JOAO PESSOA - PB,4786.72,5165,5167,3348,756.5,3889,922,2810,89.12,10537.06,0,0,,0.05097708785,0.9490229121,178377,3.235992883,9093.14,0,9093.14,2370.81,3.83545708,35,0,,1933.27,0,2159.98,3896.21,0,0,0,1103.68,11,0,2,18,0,0,0,7,19,10,11,11,12.4,40.21,19.29347074,28.13,37.89,30.70069415,13.15,190.526,99.5,0.707,,VARZEA,0,0,0
DOM VICOSO - MG,Dom Viçoso,MG,3122801,ITAJUBA - MG,VARGINHA - MG,4783.76,5095,5058,3844,2352,4056,1217,3001,87.23,9902.17,0,0,,0.04736509067,0.9526349093,176841,2.791099633,8376.09,0,8376.09,4247.45,1.972027923,56,0,,618.87,0,0,5283.19,0,0,139.96,2334.07,8,0,0,26,0,0,3,23,11,3,7.5,9,7.5,27.00096386,7.94,13.85190141,15.49,14.54859815,26.28,113.921,98,0.687,,DOM VICOSO,0,0,0
FELICIO DOS SANTOS - MG,Felício dos Santos,MG,3125408,DIAMANTINA - MG,MONTES CLAROS - MG,4775.4,4427,5467,4175,4033,4534,1101,4753,81.91,8473.94,0,0,,0.06713799915,0.9328620009,209081,2.953351567,14037.28,0,14037.28,3480.24,4.033422982,72,0,,1301.17,134.99,1229.98,5451.18,2349,0,0,3570.96,17,1,2,30,1,0,0,28,9,5,5.5,6.75,6.25,21.58,14.72,19.575,20.68,18.8625,14.38,357.622,97.7,0.606,,FELICIO DOS SANTOS,0,0,0
